,title,employer,location,rating,description,salary_estimate,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue
0,Full Stack Engineer,Atomic-growth.com,Ramat Gan,-1,"Atomic Growth is building the next-generation Consumer Packaged Goods CPG company by acquiring and scaling independent e-commerce brands. We leverage AI and unique e-commerce expertise to identify, acquire, operate, and scale these brands. We partner with the owners of these brands, and offer them an opportunity to go above and beyond what they imagined when starting their brand. Atomic Growth assembled an extraordinary, cross-functional team of AI, e-commerce, and M&A experts, based in Tel-Aviv and New-York. Growing rapidly, and looking for driven professionals who are excited to join a dynamic startup environment, offering ownership and exceptional personal development opportunities from day 1. Responsibilities for Full Stack",₪25K (Employer est.),1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
1,Junior QA Engineer,Unleash,Tel Aviv-Yafo,3.7 ,"Unleash is powering the productivity revolution by providing users with a centralized way to search through their cloud based apps and local desktop. A light weight search interface allows users to enter their search query and receive relevant ranked results which are yielded in seconds. As a user centric company, we place a great deal of emphasis on users experience when building our product and have fun doing it!  We are a fresh and energetic startup, post round A in funding ($12M), led by a strong team of second timer founders and top angel investors and VCs from the Sillicon Valley and Tel Aviv. Our expanding team is made up of enthusiastic and dedicated members working together to revolutionize the productivity world. We believe that collaboration across teams - where everyone is accessible, from our newest hires to the founders - combined with a vested interest in our teams well being are the keys to our successful working environment.",-1,1,3.5,3.7,3.7,3.4,3.5,51 to 200 Employees,Company - Private,Media & Communication,2011,Publishing,Unknown / Non-Applicable
2,"Cloud Software Engineer, Identity Protection (Israel)",CrowdStrike,Tel Aviv-Yafo,4.3 ,"#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight. About the Team: You will be joining the Identity protection team that delivers detection and prevention of identity related incidents in the organizational network using the falcon sensor and cloud.",-1,0,4.0,4.2,4.1,3.9,4.1,1001 to 5000 Employees,Company - Public,Information Technology,2011,Enterprise Software & Network Solutions,$500 million to $1 billion (USD)
3,Automation Engineer- student position,Atera,Tel Aviv-Yafo,4.7 ,"Atera is looking for a talented and passionate Automation Engineer to develop, maintain, and improve the automation framework and tests to ensure the highest level of quality. This is a student position. Availability to work a minimum of 3 days a week (60%) is required.  Responsibilities: Conduct the process of transformation from manual tests to automation tests based on needed scenarios & tools, as well as enhance existing tests and tools.  Requirements:",-1,1,4.7,4.6,4.6,4.6,4.6,201 to 500 Employees,Company - Private,Information Technology,2014,Enterprise Software & Network Solutions,$25 to $100 million (USD)
4,Junior QA Engineer,Unleash Labs,Tel Aviv-Yafo,3.7 ,"Unleash is powering the productivity revolution by providing users with a centralized way to search through their cloud based apps and local desktop. A light weight search interface allows users to enter their search query and receive relevant ranked results which are yielded in seconds. As a user centric company, we place a great deal of emphasis on users experience when building our product and have fun doing it!  We are a fresh and energetic startup, post round A in funding ($12M), led by a strong team of second timer founders and top angel investors and VCs from the Sillicon Valley and Tel Aviv. Our expanding team is made up of enthusiastic and dedicated members working together to revolutionize the productivity world. We believe that collaboration across teams - where everyone is accessible, from our newest hires to the founders - combined with a vested interest in our teams well being are the keys to our successful working environment.",-1,0,3.5,3.7,3.7,3.4,3.5,51 to 200 Employees,Company - Private,Media & Communication,2011,Publishing,Unknown / Non-Applicable
5,Junior Software Engineer,Nym Health,Tel Aviv-Yafo,-1,"At Nym, we’re passionate about simplifying healthcare by automating the accurate interpretation of clinical language. Our interdisciplinary team has developed an innovative technology that can understand clinical language and provides an entirely new way of analyzing and decoding medical records into clear, concise, and actionable information. This ultimately ensures clinical and administrative teams can spend more time focused on patient care. At Nym, the future is bright. Our engine currently processes over five million charts annually in more than 150 emergency department and urgent care settings across the US. We are backed by top-tier VCs and growing rapidly, with offices in NYC and Tel Aviv.   Requirements:",-1,1,4.1,4.7,3.0,2.7,4.4,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
6,Back End Engineer,Jeeng,Giv`atayim,-1,"Are you an A+? We are looking for a top-notch Backend Engineer Unicorn who will work on our core platform. The person who will join us will have a significant impact on creating a brand-new product and will own features from design to production. Our ideal candidates understand that design is crucial and have a solid experience in microservices architecture. Additionally, we expect them to be independent, accountable and willing to frequently get out of their comfort zone. What will you do?  Requirements:   Experience: 5+",-1,1,4.3,4.3,4.9,4.8,4.6,1 to 50 Employees,Company - Private,Information Technology,2011,Internet & Web Services,$25 to $100 million (USD)
7,Frontend Engineer,ironSource,Tel Aviv-Yafo,4.2 ,"Unity is seeking a highly skilled and passionate Front-end Developer to join our dynamic team in creating an amazing product displayed on mobile devices and reaching millions of users worldwide. As a React Developer, you will play an important role in leading the development of our cutting-edge product, utilizing your expertise in web development and react to ensure an exceptional user experience. We use the coolest, most advanced technology out there to make it super innovative and exciting! If you are an ambitious React Developer who thrives in a fast-paced and collaborative environment and are passionate about creating world-class mobile web experiences, we would love to hear from you. Join our A - team and let’s do great things together.  Requirements:  Role:  Business Unit: Engineering",-1,1,4.0,3.8,4.1,4.0,3.9,501 to 1000 Employees,Company - Private,Information Technology,2010,Computer Hardware Development,Unknown / Non-Applicable
8,NOC Engineer- Student Position,Gong.io Inc.,Tel Aviv-Yafo,4.2 ,"As a NOC Student, you will: Ensure infrastructure and applications are monitored and that alerts and incidents are handled quickly and professionally. Measure and monitor the viability and stability of the systems and their core components. Perform proactive system monitoring. Confirming the integrity and availability of processes & pipelines. Troubleshooting and resolving application-related issues. You should apply if you are:",-1,0,3.9,4.1,4.3,4.0,3.9,1001 to 5000 Employees,Company - Private,Information Technology,2015,Enterprise Software & Network Solutions,Unknown / Non-Applicable
9,QA Automation Engineer (Student Position),Trullion,Tel Aviv-Yafo,-1,"Accounting is the language of the business world, and all companies rely on accurate financial data to communicate with stakeholders. The $400 billion per year financial reporting industry is ready for new technology to take standards to the next level. And that's where Trullion comes in. Our AI-powered platform automates critical accounting workflows, provides real-time reports and insights, and promotes new levels of collaboration for financial leaders. We are a rapidly growing start-up with clients that include global multinational brands and leading audit firms. Our investors include Aleph, Third Point, Greycroft, leading CFOs, and CAOs from around the world. This is the perfect time for you to join us as we expand our current offerings and launch new products.  Requirements:     Responsibilities:  About us:",-1,1,5.0,5.0,4.7,5.0,4.5,1 to 50 Employees,Company - Private,Financial Services,2019,Financial Transaction Processing,Unknown / Non-Applicable
10,NOC Engineer,Cybereason,Tel Aviv-Yafo,3.4 ,"Who we are Cybereason is an international company that defends the world's top brands in over 50 countries. We are the champion of today's cyber defenders, providing operation-centric attack protection. Our Defence Platform moves beyond endless alerting to instead recognize, expose, and end malicious operations before they take hold. Nice to know Our Israeli site is located in Tel Aviv at Alon 1 tower, next to Hashalom train station Hybrid work model. Flexible working hours.",-1,1,3.2,3.6,3.6,2.8,3.7,1001 to 5000 Employees,Company - Private,Information Technology,2012,Enterprise Software & Network Solutions,Unknown / Non-Applicable
11,Backend Engineer,Ermetic,Tel Aviv-Yafo,4.3 ,"Ermetic's mission & Culture Ermetic is an award-winning leading cybersecurity company specializing in infrastructure cloud security and governance, ranked as the best startup to work in for 2022! We are a fast-growing startup with $100M in funding in just under two years, revenue growth of 800%+ and an X6 customer base- we are unstoppable! Through our innovative and industry-leading solutions, we have helped organizations worldwide secure their cloud environments and comply with industry standards and regulations by providing the right platform, the right tools, and the right expertise.",-1,1,4.0,4.3,4.6,3.9,4.3,51 to 200 Employees,Company - Private,Information Technology,2019,Software Development,Unknown / Non-Applicable
12,Junior QA Engineer לחברה ישראלית יציבה ורווחית,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: צוות הQA שלנו מתרחב ונשמח לצרף QA Engineer לביצוע בדיקות ידניות, עבודה עם Cloud ופרוטוקלי תקשורת. החברה עוסקת ב-Infrastructure Automation at Scale על מנת לייעל תהליכי DevOps בחברות וארגונים. עד כה מושקעת בלמעלה מ-114M דולר עם מעל 200 לקוחות משלמים. מונים 120 עובדים וצומחים! דרישות המשרה: נסיון של שנה בבדיקות ידניות Client/Server",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
13,Junior Data Engineer בחברה מצליחה שעוסקת באבחון גנומי מתמונות ביופסיה,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: החברה פיתחה טכנולוגיה פורצת דרך המבוססת על מודלים חדשים של AI לקבלת אבחון גנומי מפורט מתמונת הביופסיה בלבד. הטכנולוגיה מזהה מגוון רחב של סמנים ביולוגיים (מוטציות/ באגים בגנים), שאינם ניתנים לזיהוי באבחון פתולוגי של עין אנושית. היום תהליך כזה של ריצוף גנטי לוקח זמן רב (שבועות ולעיתים חודשים), יקר מאוד ובעל מגבלות טכנולוגיות. בעזרת הטכנולוגיה שפיתחה החברה הצליחו לקצר את התהליך ל-2 דקות בלבד. החברה מונה קרוב ל-30 עובדים. ממוקמים בתל אביב ונמצאים מרחק הליכה מרכבת ומתחבורה ציבורית נגישה. משלבים מודל עבודה הבירידי. מהות התפקיד: פיתוח וניתוח Data אבל לא אלגוריתמיקה, כפיפות לראש צוות, קוד בPython ו-Node.js.",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
14,Frontend Engineer,ClearML,Tel Aviv-Yafo,-1,"Research Scientists And Developers - We Are Looking For You We’re looking for brilliant people, passionate about artificial intelligence, deep learning and engineering, and that derive pleasure from developing innovative solutions for challenging problems. At ClearML, you will have the chance to make an impact on the field of AI and explore the frontiers of machine learning and deep learning in general and AI platforms in particular. We offer a supportive environment that facilitates learning and collaboration, surrounded by like-minded people, and with a plethora of opportunities for career growth and development.",-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,1 to 50 Employees,Contract,-1,-1,-1,Unknown / Non-Applicable
15,Manual QA Engineer,Imomony,Tel Aviv-Yafo,2.4 ,"We’re looking for magnificent, creative and curious Manual QA Engineer to join our great QA team Qualifications: If you have: 2-3 years of experience in Manual testing from Internet / Online companies In Client -experience / Server and Web security, Writing STP, STD and STR Documents Familiarity and experience with SQL Experience working in an Agile / Scrum – an advantage",-1,0,3.3,2.7,3.4,2.4,4.3,51 to 200 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
16,CPU Verification Engineer -,Apple,Herzliya,4.2 ,"Summary Posted: Feb 6, 2023 Weekly Hours: 42 Role Number:200458942 In this visible role, you will be responsible for defining DV methodologies, test-bench infrastructure ramp-up and project execution of multiple all new CPU cores for Apple product lines. You will develop verification test plans, tools, test benches, protocol monitors, and high-coverage stimulus vectors. Apply advanced techniques to achieve verification with the highest quality, productivity, and time-to-market. You will work closely with the design team to ensure timely delivery of quality designs. Applying advanced methods to accelerate verification time. Involvement in Post Silicon Validation.",-1,0,3.8,4.3,4.2,3.7,3.6,10000+ Employees,Company - Public,Information Technology,1976,Computer Hardware Development,$10+ billion (USD)
17,Intern - Software,NCR,Raanana,3.6 ,"About NCR NCR Corporation (NYSE: NCR) is a leader in transforming, connecting and running technology platforms for self-directed banking, stores and restaurants. NCR is headquartered in Atlanta, Ga., with 38,000 employees globally. NCR is a trademark of NCR Corporation in the United States and other countries. Software Engineer Junior: Purpose: Simple, made possible. Our next-gen platform architecture delivers the agility retailers need to compete in a world that increasingly prefers digital experiences. We are looking for talented intern SW engineering student who love tackling convoluted problems and coming up with clean, stable solutions that scale. You will be participating in building from scratch the next-gen retail solution as-a-service dealing with scalability, availability, cloud and edge computing.",-1,0,3.2,3.1,3.5,3.2,3.4,10000+ Employees,Company - Public,Information Technology,1884,Enterprise Software & Network Solutions,$5 to $10 billion (USD)
18,Junior QA Engineer - Generative AI Team,AudioCodes Limited,Central,4.1 ,"Description We are seeking a Junior QA Engineer to join our Generative AI Team, which focuses on Prompt Engineering and other Generative AI related activities. As a QA Engineer, you will play a vital role in ensuring the quality and reliability of our AI systems. You will be responsible for designing, executing, and maintaining test plans, as well as identifying and reporting issues and bugs.  Requirements  QA Certification. (International certification ISTQB or higher is an advantage)",-1,0,3.8,3.8,4.4,3.8,4.2,501 to 1000 Employees,Company - Public,Manufacturing,-1,Electronics Manufacturing,$100 to $500 million (USD)
19,Operation Mechanical Assembler,Chakratec,Lod,5.0 ,"About Chakratec We are growing fast, working in Europe with leading Energy and Automotive companies and are now seeking to accelerate our business and develop our next generation platform. Looking for Committed Adventurous Professionals for a range of R&D and Technical Customer Facing positions, to help us expand our great company and boost our vision : to enable fast roll out and high penetration of eMobility, by providing economic and environmentally friendly electricity power boosters and EV (Electric Vehicle) charging solutions. Job Description and Responsibilities Mechanical Hands-On assemblies of complex and delicate assemblies and subassemblies, Work according to drawings and assembly specifications.",-1,0,3.0,3.0,5.0,5.0,4.0,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
20,QA Engineer,Dropit Shopping,Tel Aviv-Yafo,3.2 ,"Who we are Dropit is an end-to-end hands-free shopping platform for malls and central shopping districts. By using our service, shoppers no longer need to carry their bags around the city, they simply scan their bags and drop them in one of our many partners in central London. We integrate multiple technology platforms to create a seamless network between consumers, retailers, shopping malls and logistics companies. What we're looking for We are looking for a QA lead with a can-do approach and strong knowledge and experience of QA methodologies, planning, strategy, and execution.",-1,1,3.2,3.6,3.2,3.0,4.1,51 to 200 Employees,Company - Private,Personal Consumer Services,2016,Consumer Product Rental,Unknown / Non-Applicable
21,Backend Engineer,Digital Turbine,Petah Tikva,4.0 ,"At Digital Turbine, we make mobile advertising experiences more meaningful and rewarding for users, app publishers, and advertisers — intelligently connecting people in more ways, across more devices. We provide app publishers and advertisers with powerful ads and experiences that captivate consumers, fuel performance, and help telecoms and OEMs supercharge awareness, acquisition, and monetization. In a rapidly evolving industry, we are constantly innovating and creating better paths of discovery to connect consumers, publishers, and advertisers across the mobile ecosystem.  This is a unique opportunity to join a highly-skilled team of engineers, working on the core systems of a massive production operation and solving complex logical and technological challenges that directly impact the company’s success.",-1,1,3.7,3.8,4.0,3.5,4.1,501 to 1000 Employees,Company - Public,Information Technology,1998,Computer Hardware Development,$1 to $5 billion (USD)
22,Support Engineer,PowerLink Software Ltd,Tel Aviv-Yafo,2.5 ,"Powerlink is an end-to-end business management platform tailored for your business-specific needs.  From marketing to sales to customer service, and more, Powerlink makes it easy for your entire business to work together. Each department is powerful on its own, but together they can be explosive. Powerlink was built from the ground up by developers who already knew back in 2011 that there had to be a better way to improve customer relations and decided to develop a software for every need aimed to keep customers delighted. After conquering the local market with more than 2000 satisfied Israeli customers from various industries, we are ready to go global.  Our Customer Success department includes: Technical Support team - the first point of contact for customers. Account managers team - developing long-term relationships with customers, building loyalty, and ensuring higher customer retention and satisfaction. Technical product experts - sharing their extensive knowledge for designing solutions for strategic customers. We are looking for a true leader who is passionate about people and technology to lead the CS department through this adventure. Are you up for the challenge?",-1,0,2.0,1.9,1.6,1.4,2.7,1 to 50 Employees,Company - Private,Information Technology,1997,Computer Hardware Development,Unknown / Non-Applicable
23,R&D Engineer,Implant Direct,Israel,3.2 ,"Operating Company: Implant Direct Location: Modi'in-Maccabim-Re'ut,HaMerkaz (Central),IL Date Posted: June 8, 2023 Req Number: R5016536  Implant Direct is part of Envista’s portfolio of dental product and service companies, including more than 30 trusted brands and over 125 years of dental excellence. With over 4.6 million implants placed worldwide, Implant Direct enables dentists to advance their patients’ oral health with high-quality dental implant solutions. All implants are manufactured in the USA using only medical-grade titanium alloy, meeting the industry’s highest performance and safety standards. We offer a unique portfolio of products and solutions that elevate the performance of your practice through predictable outcomes, greater patient satisfaction, and reduced total costs. We are committed to renewing confidence and changing lives through enhancing patient access. For more information about Implant Direct, visit www.Implantdirect.com .",-1,0,3.1,3.6,3.1,2.8,3.0,10000+ Employees,Company - Public,Healthcare,2019,Health Care Services & Hospitals,Unknown / Non-Applicable
24,BI Engineer,Silverfort,Tel Aviv-Yafo,4.9 ,"Silverfort is a cyber-security startup that develops a revolutionary identity protection platform. Using patented technology, our product enables strong authentication across entire corporate networks and cloud environments, without any modifications to endpoints and servers. In addition, we use advanced behavior analytics to apply adaptive authentication policies and prevent cyber-attacks in real time. Our mission is to provide industry-leading unified identity protection solutions for hybrid and multi-cloud environments. We develop cutting-edge cybersecurity technology that solves urgent customer needs today and is also a game changer for years to come. Silverfort’s team includes exceptional researchers, engineers, and technology experts who successfully tackle some of the most complex challenges in cyber-security. Silverfort has happy customers worldwide, strong market validation (including several industry awards), strategic partnerships with the largest security vendors in the world, and significant funding from leading VCs.  Requirements:  Responsibilities:",-1,1,4.8,4.8,4.9,4.9,4.8,51 to 200 Employees,Company - Private,Information Technology,2016,Enterprise Software & Network Solutions,Unknown / Non-Applicable
25,מהנדס מכונות,,Raanana,-1,"מהנדס/ת מכונות - תכן מכאני לחברת הנדסה היושבת ברעננה ומפתחת מוצרים ללקוחותיה מאב טיפוס ועד לייצור המוני אנחנו מחפשים - מהנדס/ת מכונות תכן מכאני מינימום שנתיים ניסיון the position includes: design multidisciplinary systems from conceptual design to accompanying product life. management of tasks with subcontractors and support of transfer processes from development to the production of mechanical assemblies and mechanisms. requirements: mechanical engineer b.sc. experience in mechanical design of multidisciplinary systems based on mechanics, electronics, and control - at least two years! experience in the field of production processes knowledge in plastics an advantage! work hands on knowledge in electronics - an advantage! משרדי החברה ברעננה לא היברידי קוח: |** לפנייה למשרה יש להגיש מועמדות **|",-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
26,Senior Fullstack Engineer,ServiceNow,Petah Tikva,4.5 ,"Company Description  At ServiceNow, our technology makes the world work for everyone, and our people make it possible. We move fast because the world can’t wait, and we innovate in ways no one else can for our customers and communities. By joining ServiceNow, you are part of an ambitious team of change makers who have a restless curiosity and a drive for ingenuity. We know that your best work happens when you live your best life and share your unique talents, so we do everything we can to make that possible. We dream big together, supporting each other to make our individual and collective dreams come true. The future is ours, and it starts with you. With more than 7,700+ customers, we serve approximately 85% of the Fortune 500®, and we're proud to be one of FORTUNE 100 Best Companies to Work For® and World's Most Admired Companies™.",-1,0,4.2,4.4,4.5,4.3,4.3,10000+ Employees,Company - Public,Information Technology,2004,Enterprise Software & Network Solutions,$1 to $5 billion (USD)
27,QA Engineer,Via,Tel Aviv-Yafo,4.1 ,"Via is using technology to transform transportation around the world. From changing a single person’s daily commute to reducing humanity’s collective environmental footprint — we’ve got huge goals. As a QA Engineer at Via, you’ll join a QA team, designated to validate the quality of some of Via’s products, and make sure we deliver amazing & amazingly reliable products. What You’ll Do: Develop and execute comprehensive manual test plans and test cases for frontend features and functionalities. Conduct functional, regression, and usability testing of web-based applications to ensure adherence to design specifications and user requirements. Collaborate with cross-functional teams to reproduce and isolate reported defects, providing clear and concise bug reports using appropriate bug tracking systems.",-1,0,4.0,4.0,4.2,4.0,3.8,501 to 1000 Employees,Company - Private,Information Technology,2012,Internet & Web Services,Unknown / Non-Applicable
28,Software Backend Engineer,OM2 Technologies,Herzliya,4.4 ,"OM2 Technologies is a SaaS Fintech company the develop trading platforms. Using the cutting edge latest technology, strive to low latency and high performance and scale, enable us to stand with business needs and strong technologies competitive companies. OM2 is currently looking for a Software Engineer to join our team. We are looking for someone who can contribute their skills, passion and experience to developing our challenging products. You will be responsible for designing and building core infrastructures applications. You will have the privilege to work shoulder-to-shoulder with a very strong and talented team.",-1,1,3.9,4.7,3.9,3.8,4.6,Unknown,Company - Private,-1,-1,-1,Unknown / Non-Applicable
29,QA Engineer,FrontStory,Tel Aviv-Yafo,4.2 ,"We are looking for a QA Engineer to oversee our Quality Assurance team. You will be required to oversee all aspects of software and product testing within the company. This may include developing test strategies, drawing up test documents, identifying faults, and reviewing QA reports. To ensure success as a QA Engineer you should have knowledge in analytics, high-level problem-solving skills, and the ability to project manage. Responsibilities: Meeting with the software/product designers to determine quality assurance parameters. Writing and working with test case documentation (STD, STP).  Requirements:",-1,1,4.1,4.1,4.3,4.2,4.4,1 to 50 Employees,Company - Private,Media & Communication,2012,Publishing,Unknown / Non-Applicable
30,Junior Full Stack Engineer לחברה בינלאומית מצליחה,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: חברה בינלאומית מצליחה מחפשת את הטאלנט הבא! החברה עוסקת בתחום ה-IOT ו-Big Data, ומפתחת מערכות חכמות לרכב. מונים כ-60 עובדים בארץ ו-150 בעולם, יושבים במרכז הארץ ועובדים במודל היברידי. במסגרת התפקיד, הצטרפות לצוות פיתוח Full Stack ב-NodeJS ו-React. מעוניין/ת לשמוע עוד? שלח/י קורות חיים ונתעדכן! דרישות המשרה: שנה ניסיון בפיתוח NodeJS ו-React תואר טכנולוגי / יוצא/ת יחידה טכנולוגית",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,-1,-1,-1,-1
31,SOFTWARE AUTOMATION ENGINEER R&D,Toka,Tel Aviv-Yafo,3.7 ,"Tel Aviv, IL DESCRIPTION We are seeking a highly skilled and motivated Software Automation Engineer to join our team. As a Software Automation Engineer, you will be responsible for designing, developing, and implementing software solutions to ensure the quality and reliability of our software products. You will tackle challenging technological issues on a daily-basis in areas such as computer networking, operation systems, complexity and efficiency, distributed programming, parallelism, concurrency, user-experience (UX) and so much more. You will collaborate with cross-functional teams to understand requirements, create test strategies, develop automation frameworks, write test scenarios to evaluate the quality and performance of the system. Your skills and expertise will play a crucial role in improving Toka’s cutting edge IoT intelligence platform, and by extension, improving the security of Tier-1 countries around the globe!",-1,0,3.4,3.5,3.5,3.3,3.5,1001 to 5000 Employees,Company - Private,-1,2009,-1,$100 to $500 million (USD)
32,QA Engineer,Lemonade,Tel Aviv-Yafo,3.6 ,"We're looking for an experienced QA Engineer who is passionate about technology and inspired by great UX.  You'll be instrumental in bringing features to the finish line while collaborating closely with developers, as well as with the Product, Data, and Machine Learning teams—all with the goal of delivering a seamless, joyful experience for our customers. In this role you'll Analyze user stories to identify test cases, ensuring an appropriate mix of manual and automated test coverage",-1,1,3.3,3.4,3.6,3.3,3.5,1001 to 5000 Employees,Company - Public,Insurance,2015,Insurance Carriers,$100 to $500 million (USD)
33,QA Engineers,BUFFERZONE Security,Herzliya,-1,"We are looking for motivated and talented people to join our team. If you are looking for a challenging position in a fast-paced start-up environment, please send your CV to us at careers@bufferzonesecurity.com.  BUFFERZONE’s QA team is responsible for verifying that all product releases meet the highest standards. As a member of the QA team, the QA engineer will be responsible for planning, writing and executing product test plans, both manual and automatic. The job requires a good understanding of the MS Windows environment, Windows applications, client-server systems, and security applications. Responsibilities",-1,0,2.0,2.0,2.0,2.0,5.0,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
34,QA Engineer,Via,Tel Aviv-Yafo,4.1 ,"Via is using technology to transform transportation around the world. From changing a single person's daily commute to reducing humanity's collective environmental footprint — we've got huge goals. As a QA Engineer at Via, you'll join a QA team, designated to validate the quality of some of Via's products, and make sure we deliver amazing & amazingly reliable products. What You'll Do: Develop and execute comprehensive manual test plans and test cases for frontend features and functionalities. Conduct functional, regression, and usability testing of web-based applications to ensure adherence to design specifications and user requirements. Collaborate with cross-functional teams to reproduce and isolate reported defects, providing clear and concise bug reports using appropriate bug tracking systems.",-1,1,4.0,4.0,4.2,4.0,3.8,501 to 1000 Employees,Company - Private,Information Technology,2012,Internet & Web Services,Unknown / Non-Applicable
35,QA Engineer,ClearML,Tel Aviv-Yafo,-1,"Research Scientists And Developers - We Are Looking For You We’re looking for brilliant people, passionate about artificial intelligence, deep learning and engineering, and that derive pleasure from developing innovative solutions for challenging problems. At ClearML, you will have the chance to make an impact on the field of AI and explore the frontiers of machine learning and deep learning in general and AI platforms in particular. We offer a supportive environment that facilitates learning and collaboration, surrounded by like-minded people, and with a plethora of opportunities for career growth and development.",-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,1 to 50 Employees,Contract,-1,-1,-1,Unknown / Non-Applicable
36,QA Engineer,Percepto,Israel,4.0 ,"Percepto is the leading provider of autonomous inspection and monitoring solutions, harnessing robotics, including our very own market-leading industrial drone-in-a-box solution. Our team is made up of software and hardware engineers, industry experts and professionals who are all passionate about innovation and driven to push the boundaries of what’s possible with software, AI, and hardware. We are a fast-growing company with offices in Israel, the U.S. and Australia, with Fortune 500 clients around the world. Our company growth is not stopping any time soon, and we are looking for great talent like you to join our team! We are looking for an experienced and motivated QA Engineer with a passion for quality and technology to join the QA team for our product. Why join Percepto? We care about the people we work with; we want our team members to grow and develop professionally, to find their job rewarding and intellectually stimulating, and of course - to have fun and feel that they are part of the Percepto family.  Requirements:  Responsibilities:",-1,1,3.4,3.0,3.6,3.2,3.6,51 to 200 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
37,Software Engineer,Hailo,Tel Aviv-Yafo,4.0 ,"About the company Hailo is a leading high-tech company, developing top-performing AI processors for edge devices in various industries. We combine an extensive understanding of how neural networks operate, with our team’s expertise in SW and HW architecture, to develop products that transform how we use machines to perceive and analyze the world around us. Our company is led by a group of experts from a wide range of disciplines, combining experience from elite intelligence units as well as leading tech companies in Israel and abroad, with a track record of executing complex projects from the ground up.  Requirements:  Responsibilities:  Advantages:",-1,1,3.7,3.6,3.6,3.2,4.0,201 to 500 Employees,Company - Private,Information Technology,2011,Computer Hardware Development,Unknown / Non-Applicable
38,Software QA Engineer,Invaya,Herzliya,3.3 ,Job Description: Develop and maintain both manual and automated test cases Create and implement testing approaches of web and software applications Write and execute test plans for new features Participate in design and documentation reviews Identify and communicate risks to the project team  Required Skills: 3+ years of experience in manual software testing Experience testing web UI/UX Experience with project and defect management systems Excellent written and verbal communicaton skills Create test plans and execute test cases across all functional areas of the products,-1,0,2.7,3.0,3.3,2.5,2.6,51 to 200 Employees,Company - Private,Transportation & Logistics,2010,Taxi & Car Services,Unknown / Non-Applicable
39,QA Engineer,CALLUP,Rosh Ha`Ayin,-1,"We are looking for to notch QA team player We offer: Great atmosphere Space to bring in new disciplines Place of joy mixed with hard work  The perfect candidate will have total ownership of building, releasing and testing of the Company’s products. Testing involves working with various telecommunication technologies, log inspection, writing test and other documents, version tacking and bug reporting.   1-3 years of manual C/S testing experience Degree in a technological field Web testing experience a must Experience with writing STD/STP documents Testing experience (ATP, Regression tests, Sanity tests) Knowledge of QA methodologies High level English   Background in telecom/communications – big advantage Development skills, compile/build code to release binaries Experience with Linux SQL experience",-1,1,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,Company - Private,-1,-1,-1,Unknown / Non-Applicable
40,QA Engineer,Castor,Tel Aviv-Yafo,-1,"We are a startup dedicated to realizing the 4th industrial revolution using 3D-Printing, and we are looking for a QA Engineer. In this role, you will be joining a small team, and help us take our product to the next level! Responsible for creating, maintaining, and performing exploratory, regression, and functional tests Work with relevant teams members to understand project enhancements or defect fixes and create, organize, and maintain test plans and test cases accordingly Challenge the team with end-cases and error handling scenarios  Requirements:",-1,1,3.6,3.9,4.1,3.5,4.3,201 to 500 Employees,Company - Private,Information Technology,2011,Computer Hardware Development,$25 to $100 million (USD)
